member_id_no,hospital,hosp_address,hosp_hours,hosp_tel_no,hosp_designation,hosp_days,hosp_remarks,hosp_primary
3565,THE MEDICAL CITY,,,,,,,1
3169,"UPHRMC, LAS PINAS",,,,,,,0
1452,BICOL REGIONAL TRAINING AND TEACHING HOSPITAL,,,,,,,1
2940,OSPITAL NG MAYNILA MEDICAL CENTER,,,,,,,1
4694,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
6086,DOH-CART,,,,,,,0
2251,LIPA MEDIX MEDICAL CENTER,,,,,,,1
6022,CEBU DOCTORS UNIVERSITY HOSPITAL,,,,,,,0
0260,UROLOGY CENTER OF THE PHILIPPINES,,,,,,,0
0332,SAINT LOUIS UNIVERSITY HOSPITAL OF THE SACRED HEART,,,,,,,1
6412,BATANGAS MEDICAL CENTER,"KUMINTANG IBABA, BATANGAS CITY",,,,,,0
2958,DR. JOSE FABELLA MEMORIAL HOSPITAL,,,,,,,1
0591,UROLOGY CENTER OF THE PHILIPPINES,,,,,,,0
1640,"RAYOS-VALENTIN HOSPITAL, TARLAC, TARLAC",,,,,,,1
2951,SINDANGAN DISTRICT HOSPITAL,,,,,,,1
4516,FEU NRMF,,,,,,,1
5881,TONDO MEDICAL CENTER,,,,,,,0
1531,UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER,,,,,,,1
4453,UP-PGH MEDICAL CENTER,,,,,,,0
1431,ZAMBOANGA CITY MEDICAL CENTER,,,,,,,1
5644,EAST AVENUE MEDICAL CENTER,,,,,,,0
3214,CEBU DOCTORS UNIVERSITY HOSPITAL,,,,,,,1
2083,VILLAROSA HOSPITAL,,,,,,,1
2296,UST HOSPITAL,,,,,,,1
5241,LAS PIÑAS GENERAL HOSPITAL & SATELLITE TRAUMA CENTER,,,,,,,0
6072,CHONG HUA HOSPITAL-MANDAUE,,,,,,,0
1449,UST HOSPITAL,,,,,,,1
6076,SAINT LOUIS UNIVERSITY HOSPITAL OF THE SACRED HEART,,,,,,,0
2083,PASIG CITY GENERAL HOSPITAL,,,,,,,0
3429,UP-PGH MEDICAL CENTER,,,,,,,1
6075,SAINT LOUIS UNIVERSITY HOSPITAL OF THE SACRED HEART,,,,,,,0
2965,VETERANS MEMORIAL MEDICAL CENTER,,,,,,,1
2966,SULTAN KUDARAT DOCTORS HOSPITAL,,,,,,,1
2967,SOUTHERN PHILIPPINES MEDICAL CENTER,,,,,,,1
0713,OUR LADY OF FATIMA HOSPITAL,,,,,,,0
0466,CHINESE GENERAL HOSPITAL AND MEDICAL CENTER,,,,,,,1
0117,JESUS OF NAZARETH HOSPITAL,,,,,,,1
3655,WEST VISAYAS STATE UNIVERSITY MEDICAL CENTER,,,,,,,1
1347,EAST AVENUE MEDICAL CENTER,,,,,,,1
2179,ANGEL SALAZAR MEMORIAL GENERAL HOSPITAL,,,,,,,1
0365,CAMP LAPU-LAPU STATION HOSPITAL,,,,,,,1
0900,OSPITAL NG MAKATI,,,,,,,1
2135,PASAY CITY GENERAL HOSPITAL,,,,,,,1
3175,UP-PGH MEDICAL CENTER,,,,,,,1
6078,NORTHERN MINDANAO MEDICAL CENTER,,,,,,,0
1262,SAINT LUKE'S MEDICAL CENTER,,,,,,,0
5141,NATIONAL KIDNEY AND TRANSPLANT INSTITUTE,,,,,,,0
2958,THE MEDICAL CITY,,,,,,,0
2502,CARDINAL SANTOS MEDICAL CENTER,,,,,,,1
4655,CALAMBA DOCTOR'S HOSPITAL,,,,,,,0
5070,ZAMBOANGA CITY MEDICAL CENTER,,,,,,,0
2847,TARLAC PROVINCIAL HOSPITAL,,,,,,,1
2991,RIZAL MEDICAL CENTER,,,,,,,1
3866,VETERANS MEMORIAL MEDICAL CENTER,,,,,,,0
3878,QUEZON CITY GENERAL HOSPITAL,,,,,,,1
0973,QUEZON MEDICAL CENTER,,,,,,,0
3922,CHONG HUA HOSPITAL,,,,,,,1
0900,PARAÑAQUE DOCTOS HOSPITAL,,,,,,,0
3647,DAVAO REGIONAL HOSPITAL,,,,,,,1
0983,"NEGH BITAS, CABANATUAN CITY",,,,,,,1
0509,VETERANS REGIONAL HOSPITAL,,,,,,,1
3001,RIZAL MEDICAL CENTER,,,,,,,1
3005,MANILA ADVENTIST MEDICAL CENTER,,,,,,,1
3007,UNITED DOCTORS MEDICAL CENTER,,,,,,,1
0622,"NAZARETH GENERAL HOSPITAL ",,,,,,,1
3241,JOSE R. REYES MEMORIAL MEDICAL CENTER,,,,,,,1
0253,PHILIPPINE CHILDREN MEDICAL CENTER,,,,,,,0
1658,CAMARINES NORTE PROVINCIAL HOSPITAL,,,,,,,1
2726,BALIUAG DISTRICT HOSPITAL,,,,,,,0
2726,SAN ANTONIO MILITARY MEDICAL CENTER,,,,,,,0
0253,UERM MEMORIAL MEDICAL CENTER,,,,,,,1
2601,DE LA SALLE UNIVERSITY MEDICAL  CENTER,,,,,,,1
6157,ST. LUKES MEDICAL CENTER,,,,,,,0
2854,QUIRINO MEMORIAL MEDICAL CENTER,,,,,,,1
5883,UP-PGH MEDICAL CENTER,,,,,,,0
3018,NORTHERN MINDANAO MEDICAL CENTER,,,,,,,1
2179,WESTERN VISAYAS MEDICAL CENTER,,,,,,,0
3041,CAMIGUIN GENERAL HOSPITAL,,,,,,,1
1351,ST. VINCENT GENERAL HOSPITAL,,,,,,,1
0273,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
3994,VETERANS MEMORIAL MEDICAL CENTER,,,,,,,0
2356,BAYPOINT MEDICAL CENTER,,,,,,,1
6169,FEU-NRMF HOSPITAL,,,,,,,0
4533,THE MEDICAL CITY,,,,,,,0
1256,METROPOLITAN MEDICAL CENTER,,,,,,,0
6123,TONDO MEDICAL CENTER,,,,,,,0
3030,CARDINAL SANTOS MEDICAL CENTER,,,,,,,1
0253,AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,,,,,,,0
0479,ALABANG MEDICAL CENTER,,,,,,,0
0479,LAS PINAS CITY MEDICAL  CENTER,,,,,,,0
3171,SAN JUAN DE DIOS HOSPITAL,,,,,,,1
6569,FEU NRMF,,,,,,,0
4090,EAST AVENUE MEDICAL CENTER,,,,,,,0
0243,ST. PATRICK'S HOSPITAL & MEDICAL CENTER,,,,,,,0
3049,VICENTE SOTTO MEMORIAL MEDICAL CENTER,,,,,,,1
0273,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
0703,SAN MARCELINO DISTRICT HOSPITAL,,,,,,,1
3053,BALAYAN BAYVIEW HOSPITAL,,,,,,,1
3053,METRO LEMERY MEDICAL CENTER,,,,,,,0
5400,DAVAO DOCTORS HOSPITAL,,,,,,,0
4816,VICTORIANO LUNA MEDICAL CENTER,,,,,,,0
3056,MANILA DOCTORS HOSPITAL,,,,,,,1
3057,DAVAO REGIONAL HOSPITAL,,,,,,,1
0384,CIUDAD MEDICAL ZAMBOANGA,,,,,,,1
6062,SAN PEDRO HOSPITAL,,,,,,,0
5507,UST HOSPITAL,,,,,,,0
3061,NORTHERN MINDANAO MEDICAL CENTER,,,,,,,1
3062,WESTERN VISAYAS MEDICAL CENTER,,,,,,,1
1277,VETERANS MEMORIAL MEDICAL CENTER,,,,,,,1
6571,RIZAL MEDICAL CENTER,,,,,,,0
0073,SAINT LOUIS UNIVERSITY HOSPITAL OF THE SACRED HEART,,,,,,,1
5350,WESTERN VISAYAS STATE UNIVERSITY MEDICAL CENTER,,,,,,,0
1691,SAN FERNANDO HOSPITAL,,,,,,,1
6093,GENERAL EMILIO AGUINALDO MEMORIAL HOSPITAL,,,,,,,0
0264,RIZAL MEDICAL CENTER,,,,,,,1
1847,PAULINO J. GARCIA MEMORIAL MEDICAL RESEARCH CENTER,,,,,,,1
5294,UERM MEMORIAL MEDICAL CENTER,,,,,,,0
0962,ILOILO DOCTOR'S HOSPITAL,,,,,,,0
1555,UP-PGH MEDICAL CENTER,,,,,,,1
3074,BATANGAS REGIONAL HOSPITAL,,,,,,,1
2237,UP-PGH MEDICAL CENTER,,,,,,,1
3251,THE MEDICAL CITY,,,,,,,1
1034,QUIRINO PROVINCIAL HOSPITAL,,,,,,,1
3078,TARLAC PROVINCIAL HOSPITAL,,,,,,,1
2723,EAST AVENUE MEDICAL CENTER,,,,,,,1
0255,SURIGAO MEDICAL CENTER,,,,,,,1
3081,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
3888,CARDINAL SANTOS MEDICAL CENTER,,,,,,,1
2916,JP SIOSON GENERAL HOSPITAL,,,,,,,1
3817,JOSE R. REYES MEMORIAL MEDICAL CENTER,,,,,,,1
5123,OSPITAL NG MAYNILA MEDICAL CENTER,,,,,,,1
2145,"REGION I-MEDICAL CENTER, DAGUPAN CITY",,,,,,,1
2200,NATIONAL KIDNEY AND TRANSPLANT INSTITUTE,,,,,,,1
0707,DIAGAN MEMORIAL HOSPITAL,,,,,,,0
4292,QUIRINO MEMORIAL MEDICAL CENTER,,,,,,,0
2976,PHILIPPINE ORTHOPEDIC CENTER,,,,,,,1
0879,OUR LADY OF LOURDES HOSPITAL,,,,,,,1
3092,CARDINAL SANTOS MEDICAL CENTER,,,,,,,1
4151,MAKATI MEDICAL CENTER,,,,,,,1
1226,NOVALICHES GENERAL HOSPITAL,,,,,,,0
1407,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
4038,QUIRINO MEMORIAL MEDICAL CENTER,,,,,,,0
5584,SOUTHERN ISABELA MEDICAL CENTER,,,,,,,0
4948,BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER,,,,,,,0
0570,MADONNA GENERAL HOSPITAL,,,,,,,1
1210,ILOILO DOCTOR'S HOSPITAL,,,,,,,1
1691,PAMPANGA PROVINCIAL HOSPITAL,,,,,,,0
3104,UST HOSPITAL,,,,,,,1
3233,FEU NRMF,,,,,,,1
2529,RAMOS GENERAL HOSPITAL,,,,,,,1
1892,UNITED DOCTORS MEDICAL CENTER,,,,,,,0
2305,OUR LADY OF CAYSASAY MEDICAL CENTER,,,,,,,1
4358,WEST VISAYAS STATE UNIVERSITY MEDICAL CENTER,,,,,,,0
1045,SOUTHERN NEGROS DOCTOR'S HOSPITAL,,,,,,,1
3863,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
3396,MAKATI MEDICAL CENTER,,,,,,,1
0604,SAGRADA FAMILYA HOSPITAL,,,,,,,1
3217,DAVAO REGIONAL HOSPITAL,,,,,,,1
4470,VICENTE SOTTO MEMORIAL MEDICAL CENTER,,,,,,,1
4795,CAGAYAN VALLEY MEDICAL  CENTER,,,,,,,0
0481,RICARDO LIMSO MEDICAL CENTER,,,,,,,1
4016,DE LA SALLE UNIVERSITY MEDICAL  CENTER,,,,,,,0
1155,KALINGA PROVINCIAL HOSPITAL,,,,,,,1
0839,MANILA DOCTORS HOSPITAL,,,,,,,1
2111,UCPI AMBULATORY CARE CENTER,,,,,,,0
1961,CEBU DOCTORS UNIVERSITY HOSPITAL,,,,,,,1
3536,BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER,,,,,,,1
4920,VICENTE SOTTO MEMORIAL MEDICAL CENTER,,,,,,,0
4902,QUEZON CITY GENERAL HOSPITAL,,,,,,,0
1618,DIGOS DOCTORS HOSPITAL,,,,,,,0
1460,TAMONDONG EUGENIO GENERAL HOSPITAL,,,,,,,1
5051,BICOL REGIONAL TRAINING AND TEACHING HOSPITAL,,,,,,,0
1355,LAGUNA PROVINCIAL HOSPITAL,,,,,,,1
2604,UP-PGH MEDICAL CENTER,,,,,,,1
2849,OSPITAL NG MAKATI,,,,,,,1
0665,AMADO GARCIA HOSPITAL,,,,,,,1
3475,TONDO MEDICAL CENTER,,,,,,,1
5575,RIZAL MEDICAL CENTER,,,,,,,0
0601,DIPOLOG MEDICAL CENTER,,,,,,,1
3293,DIVINE GRACE MEDICAL CENTER,,,,,,,0
2411,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
3095,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER,,,,,,,0
0608,OUR LADY OF LOURDES HOSPITAL,,,,,,,1
2497,THE MEDICAL CITY,,,,,,,1
2670,"SAN PEDRO HOSPITAL, DAVAO CITY",,,,,,,1
1461,COTABATO PROVINCIAL HOSPITAL,,,,,,,1
3115,"SAN PEDRO HOSPITAL, DAVAO CITY",,,,,,,1
0590,PERPETUAL HELP MEDICAL CENTER,,,,,,,1
2528,ASIAN HOSPITAL AND MEDICAL CENTER,,,,,,,1
0019,TALON GENERAL  HOSPITAL,,,,,,,1
2355,PNP GENERAL HOSPITAL,,,,,,,1
4515,FEU NRMF,,,,,,,1
5247,BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER,,,,,,,0
0665,OSPITAL NG ANGELES,,,,,,,0
1369,QUEZON CITY GENERAL HOSPITAL,,,,,,,0
3064,GENERAL SANTOS CITY DISTRICT HOSPITAL,,,,,,,1
1671,UNITED DOCTORS MEDICAL CENTER,,,,,,,0
5392,UP-PGH MEDICAL CENTER,,,,,,,0
1744,RIZAL MEDICAL CENTER,,,,,,,1
3599,ILOCOS TRAINING AND REGIONAL MEDICAL CENTER,,,,,,,1
2220,STA. TERESITA GENERAL HOSPITAL,,,,,,,1
2902,NORTHERN MINDANAO MEDICAL CENTER,,,,,,,1
1615,GOV. ROQUE B. ABLAN SR. MEMORIAL HOSPITAL,,,,,,,1
2689,CHONG HUA HOSPITAL,,,,,,,1
1867,UP-PGH MEDICAL CENTER,,,,,,,1
2446,THE MEDICAL CITY,,,,,,,1
4619,QUIRINO MEMORIAL MEDICAL CENTER,,,,,,,0
2307,SAN PABLO COMMUNITY HOSPITAL,,,,,,,1
2526,OSPITAL NG MAKATI,,,,,,,1
4345,RIZAL MEDICAL CENTER,,,,,,,0
2501,MANILA DOCTORS HOSPITAL,,,,,,,1
1854,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
2933,NATIONAL KIDNEY AND TRANSPLANT INSTITUTE,,,,,,,1
1232,METROPOLITAN MEDICAL CENTER,,,,,,,0
3305,THE MEDICAL CITY,,,,,,,1
2387,JOSE R. REYES MEMORIAL MEDICAL CENTER,,,,,,,1
3703,UERM MEMORIAL MEDICAL CENTER,,,,,,,1
5912,RIZAL MEDICAL CENTER,,,,,,,0
1707,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
1158,THE MEDICAL CITY,,,,,,,1
2259,NODADO GENERAL HOSPITAL,,,,,,,0
3799,EASTERN VISAYAS REGIONAL MEDICAL CENTER,,,,,,,1
1512,MARY MEDIATRIX MEDICAL CENTER,,,,,,,1
3258,UST HOSPITAL,,,,,,,1
1841,POLYMEDIC GENERAL HOSPITAL,,,,,,,1
3835,NATIONAL KIDNEY AND TRANSPLANT INSTITUTE,,,,,,,1
5609,MAKATI MEDICAL CENTER,,,,,,,0
1108,URDANETA SACRED HEART HOSPITAL,,,,,,,1
2836,EAST AVENUE MEDICAL CENTER,,,,,,,1
2639,MAKATI MEDICAL CENTER,,,,,,,1
2625,THE MEDICAL CITY,,,,,,,1
2470,APARRI DISTRICT HOSPITAL,,,,,,,1
2707,ALMORA GENERAL HOSPITAL,,,,,,,1
3547,THE MEDICAL CITY,,,,,,,1
4749,CHONG HUA HOSPITAL-MANDAUE,,,,,,,0
0005,LUNG CENTER OF THE PHILIPPINES,,,,,,,0
2344,CEBU DOCTORS UNIVERSITY HOSPITAL,,,,,,,1
0123,CARDINAL SANTOS MEDICAL CENTER,,,,,,,1
1854,FATIMA UNIVERSITY MEDICAL CENTER,,,,,,,0
3276,UP-PGH MEDICAL CENTER,,,,,,,1
2411,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
0994,DR. JOSE FABELLA MEMORIAL HOSPITAL,,,,,,,1
1426,MOTHER SETON HOSPITAL,,,,,,,1
3065,PERPETUAL SUCCOUR HOSPITAL,,,,,,,1
3479,SAINT LUKE'S MEDICAL CENTER,,,,,,,0
3431,FEU NRMF,,,,,,,1
2171,DR. JOSE FABELLA MEMORIAL HOSPITAL,,,,,,,1
2168,RIZAL MEDICAL CENTER,,,,,,,1
4563,RIZAL MEDICAL CENTER,,,,,,,0
4339,UST HOSPITAL,,,,,,,0
1798,EASTERN BICOL MEDICAL CENTER,,,,,,,0
3554,QUEZON CITY GENERAL HOSPITAL,,,,,,,1
0713,SOUTH COTABATO PROVINCIAL HOSPITAL,,,,,,,0
2010,SULTAN KUDARAT DOCTORS HOSPITAL,,,,,,,1
4260,BATANGAS REGIONAL HOSPITAL,,,,,,,0
2100,PHILIPPINE CHILDREN MEDICAL CENTER,,,,,,,1
4459,VICENTE SOTTO MEMORIAL MEDICAL CENTER,,,,,,,0
2704,PNP GENERAL HOSPITAL,,,,,,,1
2364,ROMBLON PROVINCIAL HOSPITAL,,,,,,,1
1152,"ALBAY DOCTORS HOSPITAL ",,,,,,,1
1017,ST. JAMES HOSPITAL,,,,,,,1
2969,PHILIPPINE ORTHOPEDIC CENTER,,,,,,,1
3761,DR. PABLO O. TORRE SR. MEMORIAL HOSPITAL,,,,,,,1
3084,EAST AVENUE MEDICAL CENTER,,,,,,,1
1671,FATIMA UNIVERSITY MEDICAL CENTER,,,,,,,0
0910,UST HOSPITAL,,,,,,,1
4364,VETERANS MEMORIAL MEDICAL CENTER,,,924-6426 LOC. 1422,,,,1
3103,UST HOSPITAL,,,,,,,1
6306,AMAI PAKPAK MEDICAL CENTER,,,,,,,0
1031,MEDICAL CENTER MANILA,,,,,,,0
0046,CAPITOL MEDICAL CENTER,,,,,,,1
2085,MANILA ADVENTIST MEDICAL CENTER,,,,,,,1
4040,QUIRINO MEMORIAL MEDICAL CENTER,,,,,,,1
1418,SAN CARLOS PLANTERS & LABORER'S HOSPITAL,,,,,,,0
0007,CAPITOL MEDICAL CENTER,,,,,,,0
1305,VETERANS MEMORIAL MEDICAL CENTER,,,,,,,1
5903,JOSE R. REYES MEMORIAL MEDICAL CENTER,,,,,,,0
1544,ST. JUDE HOSPITAL AND MEDICAL CENTER,,,,,,,1
3244,MAKATI MEDICAL CENTER,,,,,,,1
6301,DAVAO REGIONAL MEDICAL CENTER,,,,,,,0
1418,SAN CARLOS DOCTORS HOSPITAL,,,,,,,1
0124,CALAMBA MEDICAL CENTER,,,,,,,1
4272,BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER,,,,,,,0
1912,OUR LADY OF MEDIATRIX HOSPITAL,,,,,,,0
0891,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
0789,DAVAO REGIONAL MEDICAL CENTER,,,,,,,1
0106,UST HOSPITAL,,,,,,,1
0282,TARLAC PROVINCIAL HOSPITAL,,,,,,,1
2707,KALINGA PROVINCIAL HOSPITAL,,,,,,,0
3420,NATIONAL KIDNEY AND TRANSPLANT INSTITUTE,,,,,,,1
0604,BALIUAG DISTRICT HOSPITAL,,,,,,,0
0747,SAINT LUKE'S MEDICAL CENTER,,,,,,,0
2240,CAPITOL MEDICAL CENTER,,,,,,,1
3249,THE MEDICAL CITY,,,,,,,1
4396,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,,,,,,,0
2240,OUR LADY OF LOURDES HOSPITAL,,,,,,,0
1782,PASAY CITY GENERAL HOSPITAL,,,,,,,1
1087,FE DEL MUNDO MEDICAL CENTER,,,,,,,1
4511,TARLAC PROVINCIAL HOSPITAL,,,,,,,0
1087,"ST. LUKE'S MEDICAL CENTER, GLOBAL CITY",,,,,,,0
2119,METROPOLITAN MEDICAL CENTER,,,,,,,0
3849,ZAMBOANGA CITY MEDICAL CENTER,,,,,,,1
3287,UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER,,,,,,,1
3170,OSPITAL NG MAYNILA MEDICAL CENTER,,,,,,,1
0497,BATANGAS REGIONAL HOSPITAL,,,,,,,1
1065,CARDINAL SANTOS MEDICAL CENTER,,,,,,,1
2977,RIVERSIDE MEDICAL CENTER,,,,,,,1
6476,DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL,,,,,,,0
0409,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
1546,LOPEZ SAINT JUDE HOSPITAL,,,,,,,1
0695,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
3059,CHONG HUA HOSPITAL,,,,,,,1
2641,CHONG HUA HOSPITAL,,,,,,,1
2469,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,,,,,,,1
1232,UST HOSPITAL,,,,,,,1
0409,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
3897,UP-PGH MEDICAL CENTER,,,,,,,1
0510,PHILIPPINE  HEART CENTER,,,,,,,1
3685,THE MEDICAL CITY,,,,,,,1
6574,RIZAL MEDICAL CENTER,,,,,,,0
0992,CARDINAL SANTOS MEDICAL CENTER,,,,,,,0
2155,ABRA PROVINCIAL HOSPITAL,,,,,,,1
2796,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
3343,NORTHERN MINDANAO MEDICAL CENTER,,,,,,,1
0671,MEDICAL CENTER MANILA,,,,,,,0
5407,DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL,,,,,,,0
0422,OSPITAL NG MAYNILA MEDICAL CENTER,,,,,,,1
2212,DR. PAULINO J. GARCIA MEMORIAL RESEARCH AND MEDICAL CENTER,,,,,,,1
0426,UP-PGH MEDICAL CENTER,,,,,,,1
3853,MAKATI MEDICAL CENTER,,,,,,,1
6231,V. LUNA MEDICAL CENTER,,,,,,,0
0429,PERPETUAL HELP MEDICAL CENTER,,,,,,,1
0786,STO. NIÑO HOSPITAL,,,,,,,1
0431,LIPA MEDIX MEDICAL CENTER,,,,,,,1
0432,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
0433,"OUR LADY OF ROSARY HOSPITAL, INC.",,,,,,,1
0346,BACOLOD SANITARIUM AND HOSPITAL,,,,,,,1
1402,MARY IMMACULATE MATERNITY HOSPITAL,,,,,,,1
3699,QUEZON CITY GENERAL HOSPITAL,,,,,,,1
0437,UNITED DOCTORS MEDICAL CENTER,,,,,,,1
0438,VETERANS MEMORIAL MEDICAL CENTER,,,,,,,1
0439,QUIRINO MEMORIAL MEDICAL CENTER,,,,,,,1
3823,WESTERN VISAYAS MEDICAL CENTER,,,,,,,1
0441,MARINDUQUE PROVINCIAL HOSPITAL,,,,,,,1
0742,SAN JUAN MEDICAL CENTER,,,,,,,0
1300,FATIMA UNIVERSITY MEDICAL CENTER,,,,,,,1
2327,UNITED DOCTORS MEDICAL CENTER,,,,,,,1
0445,AGO GENERAL HOSPITAL,,,,,,,1
1860,UST HOSPITAL,,,,,,,1
3329,VICENTE SOTTO MEMORIAL MEDICAL CENTER,,,,,,,1
0448,SAN CARLOS PLANTER'S LABORER'S HOSPITAL,,,,,,,1
1429,RAMIRO COMMUNITY HOSPITAL,,,,,,,1
6233,NATIONAL KIDNEY AND TRANSPLANT INSTITUTE,,,,,,,0
2845,QUIRINO MEMORIAL MEDICAL CENTER,,,,,,,1
1360,CHINESE GENERAL HOSPITAL AND MEDICAL CENTER,,,,,,,0
0453,JOSE R. REYES MEMORIAL MEDICAL CENTER,,,,,,,1
1475,LAS PIÑAS CITY MEDICAL CENTER,,,,,,,1
0389,DAVAO REGIONAL HOSPITAL,,,,,,,1
3969,NORTHERN SAMAR PROVINCIAL HOSPITAL,,,,,,,1
2358,UP-PGH MEDICAL CENTER,,,,,,,1
1281,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
3070,GOV. WILLIAM VILLEGAS MEMORIAL HOSPITAL,,,,,,,1
0460,DE LOS SANTOS MEDICAL CENTER,,,,,,,1
0462,UST HOSPITAL,,,,,,,1
4784,UP-PGH MEDICAL CENTER,,,,,,,0
3840,EAST AVENUE MEDICAL CENTER,,,,,,,1
0465,BETHANY HOSPITAL,,,,,,,1
0276,SAINT LOUIS UNIVERSITY HOSPITAL OF THE SACRED HEART,,,,,,,1
2076,PHILIPPINE ORTHOPEDIC CENTER,,,,,,,1
2866,MAKATI MEDICAL CENTER,,,,,,,1
0687,BISHOP JOSEPH REGAN MEMORIAL HOSPITAL,,,,,,,1
0474,ISABELA PROVINCIAL HOSPITAL,,,,,,,1
0245,LOS BAÑOS DOCTORS HOSPITAL & MEDICAL CENTER,,,,,,,1
3129,UP-PGH MEDICAL CENTER,,,,,,,1
6202,SOUTHERN PHILIPPINES MEDICAL CENTER,,,,,,,0
4858,UP-PGH MEDICAL CENTER,,,,,,,0
3853,MAKATI MEDICAL CENTER,,,,,,,1
0477,ANGEL SALAZAR MEMORIAL GENERAL HOSPITAL,,,,,,,1
0841,RIVERSIDE MEDICAL CENTER,,,,,,,1
0225,METROPOLITAN MEDICAL CENTER,,,,,,,1
0480,MOTHER SETON HOSPITAL,,,,,,,1
0717,QUEZON MEDICAL CENTER,,,,,,,1
0482,COMMITTEE OF GERMAN HOSPITAL,,,,,,,1
1751,BACOLOD ADVENTIST MEDICAL CENTER,,,,,,,1
0685,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
0485,MEDICAL CENTER MUNTINLUPA,,,,,,,1
3840,EAST AVENUE MEDICAL CENTER,,,,,,,1
4818,AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,,,,,,,0
0488,RICARDO LIMSO MEDICAL CENTER,,,,,,,1
1781,ST. PAULS HOSPITAL - ILOILO CITY,,,,,,,1
0490,SILAY CITY HOSPITAL,,,,,,,1
2480,ZAMBOANGA DEL NORTE MEDICAL CENTER,,,,,,,1
0492,ANGONO MEDICS HOSPITAL,,,,,,,1
3895,QUEZON CITY GENERAL HOSPITAL,,,,,,,1
0322,QUEEN OF THE VALLEY HOSPITAL,,,,,,,0
5256,V. LUNA MEDICAL CENTER,,,,,,,0
0685,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
2541,BATANGAS REGIONAL HOSPITAL,,,,,,,1
0500,PHILIPPINE ORTHOPEDIC CENTER,,,,,,,1
3530,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
1838,DR. JOSE C. LOCSIN PROVINCIAL HOSPITAL,,,,,,,1
0503,JOSE R. REYES MEMORIAL MEDICAL CENTER,,,,,,,1
2510,LUNG CENTER OF THE PHILIPPINES,,,,,,,1
0505,UERM MEMORIAL MEDICAL CENTER,,,,,,,1
4390,NORTHERN MINDANAO MEDICAL CENTER,,,,,,,0
1508,WESTERN VISAYAS MEDICAL CENTER,,,,,,,1
0508,EASTERN PANGASINAN DISTRICT HOSPITAL,,,,,,,1
2882,UST HOSPITAL,,,,,,,1
1815,MUNTINLUPA MEDICAL CENTER,,,,,,,1
2415,HOSPITAL OF THE INFANT JESUS,,,,,,,0
2636,CORAZON LOCSIN MONTELIBANO MEMORIAL REGIONAL HOSPITAL,,,,,,,1
2531,MANILA DOCTORS HOSPITAL,,,,,,,1
3456,QUIRINO MEMORIAL MEDICAL CENTER,,,,,,,1
2531,OSPITAL NG SAMPALOC,,,,,,,0
2313,DR. PAULINO J. GARCIA MEMORIAL RESEARCH AND MEDICAL CENTER,,,,,,,1
3530,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
3226,CORAZON LOCSIN MONTELIBANO MEMORIAL REGIONAL HOSPITAL,,,,,,,1
5003,UP-PGH MEDICAL CENTER,,,,,,,0
1320,BATANGAS MEDICAL CENTER,"KUMINTANG IBABA, BATANGAS CITY",,,,,,0
0522,ST. FRANCES CABRINI MEDICAL CENTER,,,,,,,1
1655,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
2734,ANGEL SALAZAR MEMORIAL GENERAL HOSPITAL,,,,,,,1
2510,FEU NRMF,,,,,,,0
1985,VILLAFLOR MEMORIAL HOSPITAL,,,,,,,1
3208,SOUTHERN PHILIPPINES MEDICAL CENTER,,,,,,,1
0389,TAGUM DOCTORS HOSPITAL,,,,,,,0
3167,QUIRINO MEMORIAL MEDICAL CENTER,,,,,,,1
1430,PNP GENERAL HOSPITAL,,,,,,,1
